epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.13354,1.10285,2.88081,1.44904,0.59853,0.83333,0.87376,0.63101,1.42672,1.34435,1.26159,1.19e-06,1.19e-06,1.19e-06
2,4.43395,1.2821,3.87496,1.55819,0.5155,0.83333,0.87286,0.61639,1.47122,1.39537,1.28529,3.21657e-06,3.21657e-06,3.21657e-06
3,7.02903,0.88576,3.14715,1.30801,0.5155,0.83333,0.87286,0.61639,1.47122,1.39537,1.28529,4.7719e-06,4.7719e-06,4.7719e-06
4,9.22968,1.14975,3.34691,1.47604,0.87074,0.56667,0.88546,0.59625,1.5193,1.57755,1.31278,5.85599e-06,5.85599e-06,5.85599e-06
5,11.2497,0.82414,2.36802,1.14443,0.87074,0.56667,0.88546,0.59625,1.5193,1.57755,1.31278,6.46884e-06,6.46884e-06,6.46884e-06
6,13.2583,1.52961,3.44845,2.00102,0.83588,0.5743,0.74393,0.55847,1.54359,1.76618,1.35317,6.61045e-06,6.61045e-06,6.61045e-06
7,15.1218,1.04235,3.55753,1.38926,0.83588,0.5743,0.74393,0.55847,1.54359,1.76618,1.35317,6.28082e-06,6.28082e-06,6.28082e-06
8,17.0713,0.87722,2.87053,1.35539,0.83588,0.5743,0.74393,0.55847,1.54359,1.76618,1.35317,5.47995e-06,5.47995e-06,5.47995e-06
9,19.2038,0.99989,3.44655,1.33862,0.75852,0.58333,0.74007,0.57217,1.54381,1.84392,1.34967,4.20784e-06,4.20784e-06,4.20784e-06
10,21.1777,1.02825,3.20995,1.38213,0.75852,0.58333,0.74007,0.57217,1.54381,1.84392,1.34967,2.46449e-06,2.46449e-06,2.46449e-06
